"scripts","detailing","lagged_scripts","mean_samples","doctorType"
15,8,22,4.51739130434783,"General Physician"
14,4,15,4.51739130434783,"General Physician"
10,8,14,4.51739130434783,"General Physician"
12,6,10,4.51739130434783,"General Physician"
13,9,12,4.51739130434783,"General Physician"
15,3,13,4.51739130434783,"General Physician"
7,9,15,4.51739130434783,"General Physician"
11,6,7,4.51739130434783,"General Physician"
12,5,11,4.51739130434783,"General Physician"
12,9,12,4.51739130434783,"General Physician"
10,8,12,4.51739130434783,"General Physician"
14,14,10,4.51739130434783,"General Physician"
4,8,14,4.51739130434783,"General Physician"
3,5,4,4.51739130434783,"General Physician"
0,0,2,0.295652173913043,"General Physician"
0,1,0,0.295652173913043,"General Physician"
2,1,0,0.295652173913043,"General Physician"
1,1,2,0.295652173913043,"General Physician"
6,1,1,0.295652173913043,"General Physician"
4,1,6,0.295652173913043,"General Physician"
2,4,4,0.295652173913043,"General Physician"
5,2,2,0.295652173913043,"General Physician"
1,2,5,0.295652173913043,"General Physician"
2,2,1,0.295652173913043,"General Physician"
0,1,2,0.295652173913043,"General Physician"
3,0,0,0.295652173913043,"General Physician"
1,0,3,0.295652173913043,"General Physician"
2,0,1,0.295652173913043,"General Physician"
2,2,2,0.295652173913043,"General Physician"
2,1,2,0.295652173913043,"General Physician"
1,2,2,0.295652173913043,"General Physician"
1,1,1,0.295652173913043,"General Physician"
1,3,1,0.295652173913043,"General Physician"
6,2,1,0.295652173913043,"General Physician"
2,2,6,0.295652173913043,"General Physician"
3,2,2,0.295652173913043,"General Physician"
2,2,3,0.295652173913043,"General Physician"
7,5,7,0.817391304347826,"General Physician"
6,3,7,0.817391304347826,"General Physician"
12,3,6,0.817391304347826,"General Physician"
7,5,12,0.817391304347826,"General Physician"
5,4,7,0.817391304347826,"General Physician"
6,3,5,0.817391304347826,"General Physician"
15,5,6,0.817391304347826,"General Physician"
7,2,15,0.817391304347826,"General Physician"
11,3,7,0.817391304347826,"General Physician"
14,4,11,0.817391304347826,"General Physician"
9,4,14,0.817391304347826,"General Physician"
12,4,9,0.817391304347826,"General Physician"
5,4,12,0.817391304347826,"General Physician"
14,3,5,0.817391304347826,"General Physician"
9,2,14,0.817391304347826,"General Physician"
6,4,9,0.817391304347826,"General Physician"
3,2,6,0.817391304347826,"General Physician"
7,3,3,0.817391304347826,"General Physician"
8,3,7,0.817391304347826,"General Physician"
6,3,8,0.817391304347826,"General Physician"
4,5,6,0.817391304347826,"General Physician"
1,5,4,0.817391304347826,"General Physician"
1,3,1,0.817391304347826,"General Physician"
0,3,4,0.252173913043478,"Other Specialist"
1,1,0,0.252173913043478,"Other Specialist"
0,1,1,0.252173913043478,"Other Specialist"
0,2,0,0.252173913043478,"Other Specialist"
2,1,0,0.252173913043478,"Other Specialist"
0,2,2,0.252173913043478,"Other Specialist"
0,1,0,0.252173913043478,"Other Specialist"
3,3,0,0.252173913043478,"Other Specialist"
4,1,3,0.252173913043478,"Other Specialist"
1,1,4,0.252173913043478,"Other Specialist"
2,1,1,0.252173913043478,"Other Specialist"
0,1,2,0.252173913043478,"Other Specialist"
0,1,0,0.252173913043478,"Other Specialist"
0,3,0,0.252173913043478,"Other Specialist"
2,1,0,0.252173913043478,"Other Specialist"
0,1,2,0.252173913043478,"Other Specialist"
3,2,0,0.252173913043478,"Other Specialist"
1,2,3,0.252173913043478,"Other Specialist"
2,2,1,0.252173913043478,"Other Specialist"
4,1,2,0.252173913043478,"Other Specialist"
3,4,4,0.252173913043478,"Other Specialist"
2,2,3,0.252173913043478,"Other Specialist"
1,1,2,0.252173913043478,"Other Specialist"
6,3,7,0.473913043478261,"General Physician"
3,0,6,0.473913043478261,"General Physician"
6,1,3,0.473913043478261,"General Physician"
3,0,6,0.473913043478261,"General Physician"
3,2,3,0.473913043478261,"General Physician"
7,3,3,0.473913043478261,"General Physician"
7,3,7,0.473913043478261,"General Physician"
5,1,7,0.473913043478261,"General Physician"
7,4,5,0.473913043478261,"General Physician"
4,7,7,0.473913043478261,"General Physician"
4,5,4,0.473913043478261,"General Physician"
5,4,4,0.473913043478261,"General Physician"
4,2,5,0.473913043478261,"General Physician"
3,2,4,0.473913043478261,"General Physician"
6,2,3,0.473913043478261,"General Physician"
5,4,6,0.473913043478261,"General Physician"
3,1,5,0.473913043478261,"General Physician"
3,3,3,0.473913043478261,"General Physician"
2,3,3,0.473913043478261,"General Physician"
6,7,2,0.473913043478261,"General Physician"
5,4,6,0.473913043478261,"General Physician"
7,9,5,0.473913043478261,"General Physician"
5,9,7,0.473913043478261,"General Physician"
8,3,7,0.134782608695652,"General Physician"
0,1,8,0.134782608695652,"General Physician"
3,1,0,0.134782608695652,"General Physician"
6,2,3,0.134782608695652,"General Physician"
4,1,6,0.134782608695652,"General Physician"
4,2,4,0.134782608695652,"General Physician"
8,2,4,0.134782608695652,"General Physician"
4,1,8,0.134782608695652,"General Physician"
8,1,4,0.134782608695652,"General Physician"
10,2,8,0.134782608695652,"General Physician"
3,2,10,0.134782608695652,"General Physician"
2,3,3,0.134782608695652,"General Physician"
5,2,2,0.134782608695652,"General Physician"
2,1,5,0.134782608695652,"General Physician"
0,0,2,0.134782608695652,"General Physician"
7,0,0,0.134782608695652,"General Physician"
1,0,7,0.134782608695652,"General Physician"
1,0,1,0.134782608695652,"General Physician"
2,0,1,0.134782608695652,"General Physician"
2,0,2,0.134782608695652,"General Physician"
0,0,2,0.134782608695652,"General Physician"
2,0,0,0.134782608695652,"General Physician"
0,0,2,0.134782608695652,"General Physician"
5,2,1,0.543478260869565,"General Physician"
4,2,5,0.543478260869565,"General Physician"
1,2,4,0.543478260869565,"General Physician"
1,2,1,0.543478260869565,"General Physician"
5,2,1,0.543478260869565,"General Physician"
4,1,5,0.543478260869565,"General Physician"
2,1,4,0.543478260869565,"General Physician"
5,1,2,0.543478260869565,"General Physician"
6,2,5,0.543478260869565,"General Physician"
9,2,6,0.543478260869565,"General Physician"
6,1,9,0.543478260869565,"General Physician"
4,2,6,0.543478260869565,"General Physician"
6,4,4,0.543478260869565,"General Physician"
9,3,6,0.543478260869565,"General Physician"
5,3,9,0.543478260869565,"General Physician"
3,4,5,0.543478260869565,"General Physician"
1,4,3,0.543478260869565,"General Physician"
5,3,1,0.543478260869565,"General Physician"
5,0,5,0.543478260869565,"General Physician"
2,2,5,0.543478260869565,"General Physician"
7,2,2,0.543478260869565,"General Physician"
5,2,7,0.543478260869565,"General Physician"
5,3,5,0.543478260869565,"General Physician"
2,0,0,0.578260869565217,"General Physician"
0,0,2,0.578260869565217,"General Physician"
1,0,0,0.578260869565217,"General Physician"
3,0,1,0.578260869565217,"General Physician"
3,2,3,0.578260869565217,"General Physician"
1,1,3,0.578260869565217,"General Physician"
0,1,1,0.578260869565217,"General Physician"
2,1,0,0.578260869565217,"General Physician"
0,2,2,0.578260869565217,"General Physician"
1,1,0,0.578260869565217,"General Physician"
1,3,1,0.578260869565217,"General Physician"
1,3,1,0.578260869565217,"General Physician"
0,1,1,0.578260869565217,"General Physician"
0,0,0,0.578260869565217,"General Physician"
0,0,0,0.578260869565217,"General Physician"
0,0,0,0.578260869565217,"General Physician"
0,0,0,0.578260869565217,"General Physician"
2,1,0,0.578260869565217,"General Physician"
1,1,2,0.578260869565217,"General Physician"
0,1,1,0.578260869565217,"General Physician"
1,2,0,0.578260869565217,"General Physician"
2,1,1,0.578260869565217,"General Physician"
1,1,2,0.578260869565217,"General Physician"
1,2,1,0.0434782608695652,"General Physician"
0,1,1,0.0434782608695652,"General Physician"
0,1,0,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
0,1,1,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
0,0,1,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
3,0,0,0.0434782608695652,"General Physician"
1,0,3,0.0434782608695652,"General Physician"
8,1,1,0.0434782608695652,"General Physician"
3,0,8,0.0434782608695652,"General Physician"
3,0,3,0.0434782608695652,"General Physician"
4,0,3,0.0434782608695652,"General Physician"
0,0,4,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
0,0,1,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
2,0,1,0.0434782608695652,"General Physician"
1,0,2,0.0434782608695652,"General Physician"
2,0,1,0.0434782608695652,"General Physician"
1,0,2,0.0434782608695652,"General Physician"
1,0,1,0.0434782608695652,"General Physician"
5,3,1,0.930434782608696,"General Physician"
0,4,5,0.930434782608696,"General Physician"
5,6,0,0.930434782608696,"General Physician"
0,3,5,0.930434782608696,"General Physician"
6,4,0,0.930434782608696,"General Physician"
2,3,6,0.930434782608696,"General Physician"
3,5,2,0.930434782608696,"General Physician"
6,4,3,0.930434782608696,"General Physician"
3,5,6,0.930434782608696,"General Physician"
0,5,3,0.930434782608696,"General Physician"
5,6,0,0.930434782608696,"General Physician"
0,5,5,0.930434782608696,"General Physician"
6,4,0,0.930434782608696,"General Physician"
5,5,6,0.930434782608696,"General Physician"
2,5,5,0.930434782608696,"General Physician"
2,4,2,0.930434782608696,"General Physician"
8,3,2,0.930434782608696,"General Physician"
12,3,8,0.930434782608696,"General Physician"
18,4,12,0.930434782608696,"General Physician"
12,3,18,0.930434782608696,"General Physician"
10,3,12,0.930434782608696,"General Physician"
6,3,10,0.930434782608696,"General Physician"
10,7,6,0.930434782608696,"General Physician"
9,4,8,2.80434782608696,"General Physician"
6,2,9,2.80434782608696,"General Physician"
8,5,6,2.80434782608696,"General Physician"
4,3,8,2.80434782608696,"General Physician"
24,6,4,2.80434782608696,"General Physician"
16,4,24,2.80434782608696,"General Physician"
18,5,16,2.80434782608696,"General Physician"
17,6,18,2.80434782608696,"General Physician"
17,5,17,2.80434782608696,"General Physician"
16,15,17,2.80434782608696,"General Physician"
17,2,16,2.80434782608696,"General Physician"
9,7,17,2.80434782608696,"General Physician"
19,4,9,2.80434782608696,"General Physician"
33,8,19,2.80434782608696,"General Physician"
17,5,33,2.80434782608696,"General Physician"
15,7,17,2.80434782608696,"General Physician"
25,3,15,2.80434782608696,"General Physician"
22,5,25,2.80434782608696,"General Physician"
17,4,22,2.80434782608696,"General Physician"
13,7,17,2.80434782608696,"General Physician"
15,6,13,2.80434782608696,"General Physician"
13,9,15,2.80434782608696,"General Physician"
6,5,13,2.80434782608696,"General Physician"
5,1,7,0.430434782608696,"General Physician"
6,2,5,0.430434782608696,"General Physician"
7,2,6,0.430434782608696,"General Physician"
8,2,7,0.430434782608696,"General Physician"
7,2,8,0.430434782608696,"General Physician"
3,2,7,0.430434782608696,"General Physician"
3,4,3,0.430434782608696,"General Physician"
7,4,3,0.430434782608696,"General Physician"
13,3,7,0.430434782608696,"General Physician"
6,2,13,0.430434782608696,"General Physician"
6,2,6,0.430434782608696,"General Physician"
6,3,6,0.430434782608696,"General Physician"
10,2,6,0.430434782608696,"General Physician"
1,4,10,0.430434782608696,"General Physician"
7,3,1,0.430434782608696,"General Physician"
11,4,7,0.430434782608696,"General Physician"
5,3,11,0.430434782608696,"General Physician"
9,3,5,0.430434782608696,"General Physician"
8,7,9,0.430434782608696,"General Physician"
5,4,8,0.430434782608696,"General Physician"
3,5,5,0.430434782608696,"General Physician"
5,6,3,0.430434782608696,"General Physician"
7,2,5,0.430434782608696,"General Physician"
0,0,2,0.0434782608695652,"General Physician"
2,3,0,0.0434782608695652,"General Physician"
1,3,2,0.0434782608695652,"General Physician"
1,2,1,0.0434782608695652,"General Physician"
4,2,1,0.0434782608695652,"General Physician"
1,1,4,0.0434782608695652,"General Physician"
0,1,1,0.0434782608695652,"General Physician"
2,0,0,0.0434782608695652,"General Physician"
2,0,2,0.0434782608695652,"General Physician"
0,0,2,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
1,0,1,0.0434782608695652,"General Physician"
0,0,1,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
2,0,0,0.0434782608695652,"General Physician"
0,0,2,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
0,0,0,0.0434782608695652,"General Physician"
1,0,0,0.0434782608695652,"General Physician"
0,0,1,0.0434782608695652,"General Physician"
0,0,6,1.6695652173913,"General Physician"
3,3,0,1.6695652173913,"General Physician"
0,5,3,1.6695652173913,"General Physician"
0,5,0,1.6695652173913,"General Physician"
0,3,0,1.6695652173913,"General Physician"
0,3,0,1.6695652173913,"General Physician"
0,3,0,1.6695652173913,"General Physician"
0,7,0,1.6695652173913,"General Physician"
0,5,0,1.6695652173913,"General Physician"
5,3,0,1.6695652173913,"General Physician"
3,5,5,1.6695652173913,"General Physician"
6,3,3,1.6695652173913,"General Physician"
8,0,6,1.6695652173913,"General Physician"
2,3,8,1.6695652173913,"General Physician"
0,4,2,1.6695652173913,"General Physician"
6,1,0,1.6695652173913,"General Physician"
0,5,6,1.6695652173913,"General Physician"
3,4,0,1.6695652173913,"General Physician"
0,5,3,1.6695652173913,"General Physician"
2,4,0,1.6695652173913,"General Physician"
6,2,2,1.6695652173913,"General Physician"
0,5,6,1.6695652173913,"General Physician"
0,5,0,1.6695652173913,"General Physician"
6,2,1,0.765217391304348,"General Physician"
2,1,6,0.765217391304348,"General Physician"
0,2,2,0.765217391304348,"General Physician"
2,1,0,0.765217391304348,"General Physician"
0,2,2,0.765217391304348,"General Physician"
0,1,0,0.765217391304348,"General Physician"
2,1,0,0.765217391304348,"General Physician"
4,2,2,0.765217391304348,"General Physician"
0,0,4,0.765217391304348,"General Physician"
2,2,0,0.765217391304348,"General Physician"
2,1,2,0.765217391304348,"General Physician"
2,3,2,0.765217391304348,"General Physician"
0,2,2,0.765217391304348,"General Physician"
0,3,0,0.765217391304348,"General Physician"
2,2,0,0.765217391304348,"General Physician"
0,3,2,0.765217391304348,"General Physician"
5,2,0,0.765217391304348,"General Physician"
2,0,5,0.765217391304348,"General Physician"
9,2,2,0.765217391304348,"General Physician"
2,0,9,0.765217391304348,"General Physician"
6,0,2,0.765217391304348,"General Physician"
0,1,6,0.765217391304348,"General Physician"
0,0,0,0.765217391304348,"General Physician"
4,1,9,0.0826086956521739,"Area Specialist"
0,2,4,0.0826086956521739,"Area Specialist"
0,1,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
9,0,0,0.0826086956521739,"Area Specialist"
3,0,9,0.0826086956521739,"Area Specialist"
0,0,3,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
19,0,0,0.0826086956521739,"Area Specialist"
35,0,19,0.0826086956521739,"Area Specialist"
57,0,35,0.0826086956521739,"Area Specialist"
0,0,57,0.0826086956521739,"Area Specialist"
10,0,0,0.0826086956521739,"Area Specialist"
0,0,10,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
0,0,0,0.0826086956521739,"Area Specialist"
11,1,5,0.108695652173913,"Area Specialist"
18,2,11,0.108695652173913,"Area Specialist"
16,1,18,0.108695652173913,"Area Specialist"
9,1,16,0.108695652173913,"Area Specialist"
15,1,9,0.108695652173913,"Area Specialist"
3,0,15,0.108695652173913,"Area Specialist"
17,3,3,0.108695652173913,"Area Specialist"
10,3,17,0.108695652173913,"Area Specialist"
9,2,10,0.108695652173913,"Area Specialist"
15,1,9,0.108695652173913,"Area Specialist"
8,1,15,0.108695652173913,"Area Specialist"
6,2,8,0.108695652173913,"Area Specialist"
8,2,6,0.108695652173913,"Area Specialist"
4,2,8,0.108695652173913,"Area Specialist"
9,0,4,0.108695652173913,"Area Specialist"
5,2,9,0.108695652173913,"Area Specialist"
11,3,5,0.108695652173913,"Area Specialist"
9,0,11,0.108695652173913,"Area Specialist"
17,0,9,0.108695652173913,"Area Specialist"
12,0,17,0.108695652173913,"Area Specialist"
19,0,12,0.108695652173913,"Area Specialist"
19,0,19,0.108695652173913,"Area Specialist"
18,0,19,0.108695652173913,"Area Specialist"
1,0,2,0.091304347826087,"General Physician"
2,1,1,0.091304347826087,"General Physician"
0,1,2,0.091304347826087,"General Physician"
2,0,0,0.091304347826087,"General Physician"
4,2,2,0.091304347826087,"General Physician"
0,1,4,0.091304347826087,"General Physician"
0,0,0,0.091304347826087,"General Physician"
0,3,0,0.091304347826087,"General Physician"
7,1,0,0.091304347826087,"General Physician"
0,0,7,0.091304347826087,"General Physician"
4,3,0,0.091304347826087,"General Physician"
5,2,4,0.091304347826087,"General Physician"
5,2,5,0.091304347826087,"General Physician"
7,3,5,0.091304347826087,"General Physician"
11,2,7,0.091304347826087,"General Physician"
5,3,11,0.091304347826087,"General Physician"
5,1,5,0.091304347826087,"General Physician"
4,2,5,0.091304347826087,"General Physician"
7,4,4,0.091304347826087,"General Physician"
0,5,7,0.091304347826087,"General Physician"
4,6,0,0.091304347826087,"General Physician"
3,3,4,0.091304347826087,"General Physician"
3,6,3,0.091304347826087,"General Physician"
1,0,1,0.178260869565217,"General Physician"
1,0,1,0.178260869565217,"General Physician"
1,0,1,0.178260869565217,"General Physician"
2,0,1,0.178260869565217,"General Physician"
0,1,2,0.178260869565217,"General Physician"
1,2,0,0.178260869565217,"General Physician"
4,1,1,0.178260869565217,"General Physician"
3,0,4,0.178260869565217,"General Physician"
2,1,3,0.178260869565217,"General Physician"
2,1,2,0.178260869565217,"General Physician"
0,1,2,0.178260869565217,"General Physician"
1,1,0,0.178260869565217,"General Physician"
0,0,1,0.178260869565217,"General Physician"
3,1,0,0.178260869565217,"General Physician"
5,0,3,0.178260869565217,"General Physician"
2,1,5,0.178260869565217,"General Physician"
3,1,2,0.178260869565217,"General Physician"
2,1,3,0.178260869565217,"General Physician"
0,2,2,0.178260869565217,"General Physician"
3,2,0,0.178260869565217,"General Physician"
1,2,3,0.178260869565217,"General Physician"
1,1,1,0.178260869565217,"General Physician"
1,0,1,0.178260869565217,"General Physician"
1,0,1,0.217391304347826,"General Physician"
0,0,1,0.217391304347826,"General Physician"
1,0,0,0.217391304347826,"General Physician"
1,0,1,0.217391304347826,"General Physician"
1,0,1,0.217391304347826,"General Physician"
0,0,1,0.217391304347826,"General Physician"
0,0,0,0.217391304347826,"General Physician"
0,0,0,0.217391304347826,"General Physician"
1,0,0,0.217391304347826,"General Physician"
0,1,1,0.217391304347826,"General Physician"
0,1,0,0.217391304347826,"General Physician"
1,1,0,0.217391304347826,"General Physician"
2,0,1,0.217391304347826,"General Physician"
3,0,2,0.217391304347826,"General Physician"
2,1,3,0.217391304347826,"General Physician"
0,0,2,0.217391304347826,"General Physician"
1,0,0,0.217391304347826,"General Physician"
3,2,1,0.217391304347826,"General Physician"
0,0,3,0.217391304347826,"General Physician"
1,0,0,0.217391304347826,"General Physician"
3,0,1,0.217391304347826,"General Physician"
6,0,3,0.217391304347826,"General Physician"
4,0,6,0.217391304347826,"General Physician"
10,2,5,0.852173913043478,"General Physician"
6,1,10,0.852173913043478,"General Physician"
1,1,6,0.852173913043478,"General Physician"
18,2,1,0.852173913043478,"General Physician"
4,3,18,0.852173913043478,"General Physician"
